編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPNMLQJRHPFFAX97DA,五福段,1183.50,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLSJRHPFFAX68DA,南寮北段,340.87,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLOKRHPFFAX08EA,講美段,290.50,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉
RPTNMLKKRHPFFAX97EA,隘門新段,646.79,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPNMLOKRHPFFAX97EA,馬公段,17.22,都市：住,1,1,全筆移轉
RPTNMLLKRHPFFAX97DA,興崁段,188.70,非都市：一般農業區 ; 非都市編定：農牧用地,1000,257,持分移轉
RPTNMLLKRHPFFAX97DA,興崁段,172.55,非都市：一般農業區 ; 非都市編定：農牧用地,1000,235,持分移轉
RPTNMLLKRHPFFAX97DA,興崁段,176.95,非都市：一般農業區 ; 非都市編定：農牧用地,1000,241,持分移轉
RPTNMLLKRHPFFAX97DA,興崁段,196.04,非都市：一般農業區 ; 非都市編定：農牧用地,1000,267,持分移轉
RPSNMLLKRHPFFAX87DA,城北段,1411.92,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLLKRHPFFAX87DA,城北段,1411.92,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPVNMLOJRHPFFAX48EA,東衛段,236.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉
RPUNMLKKRHPFFAX97DA,馬公段,104.00,都市：商,1,1,全筆移轉
RPQNMLNKRHPFFAX87DA,許家段,496.15,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLNKRHPFFAX87DA,許家段,29.68,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPWNMLOKRHPFFAX58DA,文光段,102.59,都市：其他:,66,63,持分移轉
RPVNMLTJRHPFFAX88DA,成功南段,182.05,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPVNMLTJRHPFFAX88DA,成功南段,52.34,非都市：一般農業區 ; 非都市編定：交通用地,5,1,持分移轉
RPPNMLKKRHPFFAX47DA,興仁段,1402.21,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPNMLKKRHPFFAX47DA,興仁段,1734.84,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLPKRHPFFAX28DA,興崁段,57.15,非都市：一般農業區 ; 非都市編定：交通用地,13,1,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,57.15,非都市：一般農業區 ; 非都市編定：交通用地,13,1,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,57.15,非都市：一般農業區 ; 非都市編定：交通用地,13,1,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,57.15,非都市：一般農業區 ; 非都市編定：交通用地,13,1,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,57.15,非都市：一般農業區 ; 非都市編定：交通用地,13,1,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,57.15,非都市：一般農業區 ; 非都市編定：交通用地,13,1,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,57.15,非都市：一般農業區 ; 非都市編定：交通用地,13,1,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,151.95,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1397,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,152.61,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1403,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,155.65,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1431,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,153.80,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1414,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,152.28,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1400,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,151.30,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1391,持分移轉
RPSNMLPKRHPFFAX28DA,興崁段,170.12,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1564,持分移轉
RPTNMLSLQHPFFAX68DA,講美段,1479.04,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLSKRHPFFAX78DA,成功南段,85.85,非都市：一般農業區 ; 非都市編定：農牧用地,101062,8585,持分移轉
RPUNMLSKRHPFFAX78DA,成功南段,330.51,非都市：一般農業區 ; 非都市編定：農牧用地,101062,33051,持分移轉
RPVNMLSKRHPFFAX88DA,成功南段,244.66,非都市：一般農業區 ; 非都市編定：農牧用地,10213527844,2472582892,持分移轉
RPWNMLLKRHPFFAX28DA,文化段,66.73,都市：住,1,1,全筆移轉
RPUNMLOKRHPFFAX38DA,春暉段,23.23,都市：住,1,1,全筆移轉
RPUNMLOKRHPFFAX38DA,春暉段,49.48,都市：住,1,1,全筆移轉
RPRNMLPKRHPFFAX18DA,四維段,91.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPSNMLLLRHPFFAX97DA,興仁段,310.07,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPOOMLOKRHPFFAX87DA,興仁南段,912.45,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLOLRHPFFAX48DA,湖西南段,55.76,非都市：一般農業區 ; 非都市編定：農牧用地,1152,24,持分移轉
RPVNMLNLRHPFFAX48DA,橫礁新段,114.36,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉
RPXNMLQKRHPFFAX88DA,鐵線段,3.52,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉
RPXNMLQKRHPFFAX88DA,鐵線段,3.52,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉
RPXNMLQKRHPFFAX88DA,鐵線段,3.52,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉
RPXNMLQKRHPFFAX88DA,鐵線段,3.52,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉
RPXNMLQKRHPFFAX88DA,鐵線段,3.52,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉
RPXNMLQKRHPFFAX88DA,鐵線段,3.52,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉
RPXNMLQKRHPFFAX88DA,鐵線段,18.79,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉
