鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南竿鄉,土地,珠螺段301~330地號,92.14,其他,,,1090207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,395096,4288,,0.0,0,,RPPNMLOKKHPFFAZ37DA
南竿鄉,土地,珠螺段301~330地號,36.49,其他,,,1090218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,58750,1610,,0.0,0,,RPPNMLKLKHPFFAZ07DA
南竿鄉,土地,介壽段931~960地號,64.96,商,,,1090304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,770000,11853,,0.0,0,,RPPNMLQJLHPFFAZ57DA
北竿鄉,土地,后沃段211~240地號,28.52,住,,,1090313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,7013,,0.0,0,,RPQNMLSJMHPFFAZ97DA
北竿鄉,土地,后沃段211~240地號,28.52,住,,,1090320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,4208,,0.0,0,,RPPNMLSJMHPFFAZ87DA
北竿鄉,土地,塘岐段271~300地號,145.05,住,,,1090331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,362625,2500,,0.0,0,向政府機關承購之案件。;,RPPNMLRJMHPFFAZ77DA
南竿鄉,土地,清水段391~420地號,6.68,其他,,,1090324,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,266000,39820,,0.0,0,,RPPNMLOKMHPFFAZ57DA
北竿鄉,土地,后沃段151~180地號,31.34,住,,,1081209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,189000,6031,,0.0,0,向政府機關承購之案件。;,RPPNMLOKNHPFFAZ67DA
南竿鄉,土地,介壽段841~870地號,6.1,其他,,,1090310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,473100,77557,,0.0,0,,RPPNMLPJNHPFFAZ67DA
東引鄉,土地,東引西段511~540地號,87.18,商,,,1090318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2750000,31544,,0.0,0,,RPPNMLMLMHPFFAZ47DA
南竿鄉,土地,清水段121~150地號,6.76,住,,,1090416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,29586,,0.0,0,,RPPNMLNLMHPFFAZ57DA
東引鄉,土地,東引西段541~570地號,15.18,商,,,1090422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,125994,8300,,0.0,0,,RPQNMLOKNHPFFAZ77DA
東引鄉,土地,東引西段1261~1290地號,107.56,住,,,1090428,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,580824,5400,,0.0,0,,RPPNMLTLMHPFFAZ18DA
