鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大業街91~120號,481.4,住,,,1091127,土地2建物1車位0,全,1,透天厝,商業用,見其他登記事項,1070801,62.66,0,0,1,有,無,無,19500,311,,0.0,0,,RPQNMLPKKIPFFDK56CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大業街91~120號,481.4,住,,,1091127,土地2建物1車位0,全,1,透天厝,商業用,見其他登記事項,1070801,63.02,0,0,1,有,無,無,19500,309,,0.0,0,,RPRNMLPKKIPFFDK66CC
苗栗市,房地(土地+建物),苗栗縣苗栗市水源里6鄰金像園1~30號,19.83,住,,,1091231,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810930,115.56,3,2,2,有,有,有,13000,112,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；,RPVNMLOJJHGGFBK28CC
苗栗市,房地(土地+建物),苗栗縣苗栗市莊敬街91~120號,112.0,住,,,1091226,土地1建物0車位0,全,3,透天厝,人行道、住宅,加強磚造,0780614,134.0,3,1,2,有,無,無,15000,112,,0.0,0,,RPWNMLPJJHGGFBK48CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮崁頂5新南里15鄰1~30號,133.63,住,,,1091223,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0960515,81.66,5,3,2,有,無,無,15000,184,,0.0,0,,RPSOMLPJJHGGFDK38CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里3鄰科專五路241~270號,253.11,住,,,1091217,土地3建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1070504,137.4,0,0,0,無,無,有,28000,204,,0.0,0,,RPUNMLRJJHGGFDK68CC
頭份市,房地(土地+建物),苗栗縣頭份市和平路241~270號,200.24,工,,,1091230,土地1建物1車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,見其他登記事項,0991206,304.41,0,0,0,無,無,無,18000,59,,0.0,0,,RPVPMLRJJHGGFFK56CC
苗栗市,房地(土地+建物),苗栗縣苗栗市民族路66巷1~30號,12.94,住,,,1100104,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0870618,69.62,4,1,2,有,有,有,11000,158,,0.0,0,,RPPNMLLKJHGGFBK47CC
竹南鎮,建物,苗栗縣竹南鎮大埔十街46巷1~30號,0.0,住,,,1091225,土地0建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060825,157.1,3,2,2,有,有,有,18000,115,坡道平面,33.41,0,,RPTOMLLLJHGGFDK28CC
公館鄉,土地,五谷岡段511~540地號,280.0,工,,,1100106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,22000,79,,0.0,0,含增建或未登記建物。；,RPRNMLMJKHGGFBK77CC
苗栗市,房地(土地+建物),苗栗縣苗栗市民族路181~210號,1222.5,住,,,1100122,土地1建物1車位0,一層,1,店面(店鋪),住商用,鋼造,0920120,732.71,0,0,0,無,無,無,85000,116,,0.0,0,,RPUNMLMJKHGGFBK08CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮聖福里23鄰環市路三段331~360號,129.12,工,,,1100221,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0961009,276.34,5,2,5,有,無,有,35000,127,,0.0,0,,RPUOMLOLKHGGFDK78CC
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮大庄里8鄰民族路169巷1~30號,37.51,住,,,1100225,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090824,110.75999999999999,3,2,2,有,有,有,15000,135,一樓平面,0.0,0,租金包含大樓管理費及車位使用汽車停車位1個及機車停車位1個。,RPUNMLTJLHGGFDK56DC
