編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVOMLSKNHPFFAO57CA,復中段,3.79,都市：住,持分移轉
RPVOMLSKNHPFFAO57CA,復中段,9.89,都市：住,持分移轉
RPRNMLNKNHPFFAO56CA,茄苳段,.15,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLNKNHPFFAO56CA,茄苳段,13.68,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTOMLSKNHPFFAO37CA,自由段,19.20,都市：住,持分移轉
RPRPMLSKNHPFFAO27CA,金雅段,29.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPXNMLSKNHPFFAO67CA,光復段,28.46,都市：住,持分移轉
RPSQMLMKNHPFFAO86CA,麗園段,69.34,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPSQMLMKNHPFFAO86CA,麗園段,1023.05,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPUPMLMKNHPFFAO96CA,民主段,16.13,都市：住,持分移轉
RPWNMLMKNHPFFAO96CA,民主段一小段,17.62,都市：商,持分移轉
RPRNMLRKNHPFFAO96CA,聚吉段,22.20,都市：住,持分移轉
RPPOMLMKNHPFFAO98CA,成功段,.49,都市：住,持分移轉
RPPOMLMKNHPFFAO98CA,成功段,9.97,都市：住,持分移轉
RPPOMLMKNHPFFAO98CA,成功段,.16,都市：住,持分移轉
RPXOMLMKNHPFFAO17CA,國道段,20.90,都市：商,持分移轉
RPQQMLTJOHPFFAO37CA,東光段,32.75,都市：其他:複合商業區,持分移轉
RPOOMLKKOHPFFAO78CA,親仁段一小段,32.58,都市：住,持分移轉
RPOOMLKKOHPFFAO78CA,親仁段一小段,.08,都市：其他:道路用地,持分移轉
RPTNMLQLNHPFFAO17CA,香中段,22.09,都市：住,持分移轉
RPXNMLPLNHPFFAO47CA,光復段,35.49,都市：住,持分移轉
RPTPMLSLPHPFFAO97EA,香村段,176.61,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPTPMLSLPHPFFAO97EA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTPMLSLPHPFFAO97EA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTPMLSLPHPFFAO97EA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTPMLSLPHPFFAO97EA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTPMLSLPHPFFAO97EA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTPMLSLPHPFFAO97EA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPXOMLTKNHPFFAO87CA,東明段,9.06,都市：商,持分移轉
RPOOMLLKNHPFFAO78CA,唐高段,24.88,都市：住,持分移轉
RPOOMLLKNHPFFAO78CA,成德段,1.04,都市：住,持分移轉
RPOOMLLKNHPFFAO78CA,成德段,.11,都市：住,持分移轉
RPWQMLSLPHPFFAO38EA,香村段,160.92,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPWQMLSLPHPFFAO38EA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPWQMLSLPHPFFAO38EA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPWQMLSLPHPFFAO38EA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPWQMLSLPHPFFAO38EA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPWQMLSLPHPFFAO38EA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPWQMLSLPHPFFAO38EA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPVPMLSLPHPFFAO18EA,香村段,147.11,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPVPMLSLPHPFFAO18EA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPVPMLSLPHPFFAO18EA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPVPMLSLPHPFFAO18EA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPVPMLSLPHPFFAO18EA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPVPMLSLPHPFFAO18EA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPVPMLSLPHPFFAO18EA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPUQMLSLPHPFFAO18EA,香村段,147.11,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPUQMLSLPHPFFAO18EA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPUQMLSLPHPFFAO18EA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPUQMLSLPHPFFAO18EA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPUQMLSLPHPFFAO18EA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPUQMLSLPHPFFAO18EA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPUQMLSLPHPFFAO18EA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPORMLSLPHPFFAO67EA,香村段,153.01,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPORMLSLPHPFFAO67EA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPORMLSLPHPFFAO67EA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPORMLSLPHPFFAO67EA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPORMLSLPHPFFAO67EA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPORMLSLPHPFFAO67EA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPORMLSLPHPFFAO67EA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPQOMLMJOHPFFAO09CA,中央段,37.13,都市：住,持分移轉
RPQRMLSLPHPFFAO87EA,香村段,142.75,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPQRMLSLPHPFFAO87EA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPQRMLSLPHPFFAO87EA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPQRMLSLPHPFFAO87EA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPQRMLSLPHPFFAO87EA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPQRMLSLPHPFFAO87EA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPQRMLSLPHPFFAO87EA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPTRMLSLPHPFFAO18EA,香村段,155.68,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPTRMLSLPHPFFAO18EA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTRMLSLPHPFFAO18EA,香村段,10.18,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPTRMLSLPHPFFAO18EA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTRMLSLPHPFFAO18EA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTRMLSLPHPFFAO18EA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTRMLSLPHPFFAO18EA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTRMLSLPHPFFAO18EA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPPRMLSLPHPFFAO77EA,香村段,155.25,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPPRMLSLPHPFFAO77EA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPPRMLSLPHPFFAO77EA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPPRMLSLPHPFFAO77EA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPPRMLSLPHPFFAO77EA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPPRMLSLPHPFFAO77EA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPPRMLSLPHPFFAO77EA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPXQMLSLPHPFFAO48EA,香村段,171.61,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPXQMLSLPHPFFAO48EA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPXQMLSLPHPFFAO48EA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPXQMLSLPHPFFAO48EA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPXQMLSLPHPFFAO48EA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPXQMLSLPHPFFAO48EA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPXQMLSLPHPFFAO48EA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPWOMLKLNHPFFAO96CA,武陵段,26.15,都市：住,持分移轉
RPWOMLKLNHPFFAO96CA,武陵段,58.00,都市：住,全筆移轉
RPRPMLPLNHPFFAO07CA,翠湖段,64.14,都市：其他:甲種風景區,持分移轉
RPRPMLPLNHPFFAO07CA,翠湖段,380.57,都市：其他:甲種風景區,全筆移轉
RPTOMLOKNHPFFAO96CA,港南段,111.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPUNMLOLNHPFFAO07CA,南湖段,.27,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPUNMLOLNHPFFAO07CA,南湖段,.14,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPUNMLOLNHPFFAO07CA,南湖段,26.41,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPPOMLOLNHPFFAO66CA,信義段,16.34,都市：住,持分移轉
RPTNMLNKNHPFFAO76CA,香雅段,90.29,都市：農,全筆移轉
RPUOMLTLNHPFFAO67CA,新興段,67.03,都市：住,持分移轉
RPVQMLPKNHPFFAO47CA,中華段,34.93,都市：住,持分移轉
RPTOMLNKNHPFFAO86CA,柴橋段,14.10,都市：其他:甲之三種風景區,持分移轉
RPWPMLKLNHPFFAO07CA,新興段,19.20,都市：住,持分移轉
RPWPMLKLNHPFFAO07CA,新興段,55.00,都市：住,全筆移轉
RPXPMLKLNHPFFAO17CA,新興段,19.20,都市：住,持分移轉
RPXPMLKLNHPFFAO17CA,新興段,55.00,都市：住,全筆移轉
RPTQMLPKNHPFFAO27CA,長春段,19.05,都市：其他:科技產業專用區,持分移轉
RPWNMLOKNHPFFAO17CA,東明段,16.47,都市：商,持分移轉
RPVNMLSKNHPFFAO47CA,光武段,30.29,都市：住,持分移轉
RPVPMLSKNHPFFAO67CA,武陵段,45.09,都市：住,持分移轉
RPQNMLPKNHPFFAO66CA,康樂段,20.06,都市：住,持分移轉
RPQNMLPKNHPFFAO66CA,康樂段,47.45,都市：住,全筆移轉
RPSPMLSKNHPFFAO37CA,南湖段,2.10,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPSPMLSKNHPFFAO37CA,南湖段,.29,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPSPMLSKNHPFFAO37CA,南湖段,.32,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPSPMLSKNHPFFAO37CA,南湖段,3.22,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPSPMLSKNHPFFAO37CA,南湖段,11.98,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPSQMLTKNHPFFAO57CA,育賢段,96.84,都市：住,全筆移轉
RPWQMLTKNHPFFAO97CA,仙宮段,4.13,都市：其他:研判中,持分移轉
RPWQMLTKNHPFFAO97CA,仙宮段,.57,都市：其他:研判中,持分移轉
RPWQMLTKNHPFFAO97CA,仙宮段,.27,都市：其他:研判中,持分移轉
RPROMLTKNHPFFAO27CA,關東段,16.00,都市：其他:道路用地,全筆移轉
RPROMLTKNHPFFAO27CA,關東段,83.00,都市：住,全筆移轉
RPXQMLTKNHPFFAO08CA,師院段,127.59,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPPPMLQLNHPFFAO96CA,金山段,13.55,都市：住,持分移轉
RPVNMLOKNHPFFAO07CA,中央段,58.00,都市：其他:道路用地,持分移轉
RPVNMLOKNHPFFAO07CA,中央段,13.25,都市：其他:道路用地,持分移轉
RPVNMLOKNHPFFAO07CA,中央段,11.98,都市：其他:道路用地,持分移轉
RPVNMLOKNHPFFAO07CA,自由段,6.00,都市：其他:道路用地,全筆移轉
RPVNMLOKNHPFFAO07CA,自由段,5.00,都市：其他:道路用地,全筆移轉
RPVNMLOKNHPFFAO07CA,中華段,9.88,都市：其他:道路用地,持分移轉
RPVNMLOKNHPFFAO07CA,民主段,12.55,都市：其他:道路用地,持分移轉
RPVNMLOKNHPFFAO07CA,民主段,56.25,都市：其他:道路用地,持分移轉
RPORMLPKNHPFFAO86CA,長興段,51.89,都市：其他:公園兼兒童遊樂場用地,全筆移轉
RPORMLPKNHPFFAO86CA,長興段,25.59,都市：其他:人行步道用地,全筆移轉
RPORMLPKNHPFFAO86CA,長興段,.11,都市：其他:道路用地,全筆移轉
RPXNMLKKOHPFFAO96CA,成功段,32.94,都市：住,持分移轉
RPXNMLKKOHPFFAO96CA,成功段,.26,都市：其他:道路用地,持分移轉
RPSNMLPKNHPFFAO86CA,康樂段,20.06,都市：住,持分移轉
RPSNMLPKNHPFFAO86CA,康樂段,49.18,都市：住,全筆移轉
RPRNMLPKNHPFFAO76CA,康樂段,20.06,都市：住,持分移轉
RPRNMLPKNHPFFAO76CA,康樂段,46.67,都市：住,全筆移轉
RPTNMLPKNHPFFAO96CA,康樂段,20.06,都市：住,持分移轉
RPTNMLPKNHPFFAO96CA,康樂段,47.07,都市：住,全筆移轉
RPVNMLMLNHPFFAO96CA,自由段,26.88,都市：住,持分移轉
RPVNMLMLNHPFFAO96CA,自由段,104.75,都市：住,持分移轉
RPPNMLLKOHPFFAO88CA,中央段,13.10,都市：商,持分移轉
RPXOMLOJOHPFFAO37CA,麗園段,2732.19,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPWOMLOJOHPFFAO27CA,民富段,8.98,都市：住,持分移轉
RPQNMLLKOHPFFAO98CA,中央段,13.10,都市：商,持分移轉
RPRNMLLKOHPFFAO09CA,中央段,13.10,都市：商,持分移轉
RPUNMLLKOHPFFAO76CA,中央段,13.10,都市：商,持分移轉
RPSNMLLKOHPFFAO56CA,中央段,13.10,都市：商,持分移轉
RPTNMLLKOHPFFAO66CA,中央段,13.10,都市：商,持分移轉
RPWNMLLKOHPFFAO96CA,中央段,13.10,都市：商,持分移轉
RPOOMLLKOHPFFAO88CA,中央段,13.10,都市：商,持分移轉
RPXNMLLKOHPFFAO07CA,中央段,13.10,都市：商,持分移轉
RPVNMLLKOHPFFAO86CA,中央段,13.10,都市：商,持分移轉
RPXPMLKKOHPFFAO17CA,東明段,15.03,都市：住,持分移轉
RPXPMLKKOHPFFAO17CA,東明段,.06,都市：其他:道路用地,持分移轉
RPPPMLOJOHPFFAO66CA,關東段,18.29,都市：住,持分移轉
RPPPMLOJOHPFFAO66CA,關東段,.61,都市：其他,持分移轉
RPPPMLOJOHPFFAO66CA,關東段,.35,都市：其他,持分移轉
RPQNMLMKOHPFFAO09CA,中央段,13.10,都市：商,持分移轉
RPWNMLMKOHPFFAO07CA,中央段,13.10,都市：商,持分移轉
RPTNMLMKOHPFFAO76CA,中央段,13.10,都市：商,持分移轉
RPRNMLMKOHPFFAO56CA,中央段,13.10,都市：商,持分移轉
RPSNMLMKOHPFFAO66CA,中央段,13.10,都市：商,持分移轉
RPPNMLMKOHPFFAO98CA,中央段,13.10,都市：商,持分移轉
RPTPMLQLNHPFFAO37CA,自由段,7.66,都市：住,持分移轉
RPUNMLMKOHPFFAO86CA,中央段,13.10,都市：商,持分移轉
RPVNMLMKOHPFFAO96CA,中央段,13.10,都市：商,持分移轉
RPUNMLSKNHPFFAO37CA,南湖段,.12,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPUNMLSKNHPFFAO37CA,南湖段,.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPUNMLSKNHPFFAO37CA,南湖段,11.82,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPQPMLTKNHPFFAO27CA,長春段,2.02,都市：住,持分移轉
RPQPMLTKNHPFFAO27CA,長春段,33.92,都市：住,持分移轉
RPPQMLLLNHPFFAO56CA,復中段,10.67,都市：住,持分移轉
RPPQMLLLNHPFFAO56CA,復中段,16.67,都市：住,持分移轉
RPPQMLLLNHPFFAO56CA,復中段,14.60,都市：商,持分移轉
RPTNMLPLNHPFFAO27EA,中山段三小段,3.00,都市：商,全筆移轉
RPSNMLLLNHPFFAO56CA,光華段,1.91,都市：住,持分移轉
RPSNMLLLNHPFFAO56CA,光華段,.08,都市：商,持分移轉
RPSNMLLLNHPFFAO56CA,光華段,6.29,都市：商,持分移轉
RPSNMLLLNHPFFAO56CA,光華段,.08,都市：其他,持分移轉
RPSNMLSKNHPFFAO17CA,虎林段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPRSMLPKNHPFFAO37DA,南門段四小段,64.00,都市：其他:第二種住宅區、道路用地,全筆移轉
RPRSMLPKNHPFFAO37DA,南門段四小段,8.00,都市：其他:第二種住宅區、道路用地,全筆移轉
RPPPMLKLNHPFFAO56EA,新興段,52.00,都市：住,全筆移轉
RPUQMLPKNHPFFAO57EA,南華段,96.35,都市：住,全筆移轉
RPUQMLPKNHPFFAO57EA,南華段,96.29,都市：住,全筆移轉
RPUQMLPKNHPFFAO57EA,南華段,96.24,都市：住,全筆移轉
RPPRMLPKNHPFFAO96CA,和平段,18.07,都市：住,持分移轉
RPSSMLPKNHPFFAO37CA,民主段,42.20,都市：住,持分移轉
RPQSMLPKNHPFFAO17CA,民主段一小段,5.82,都市：商,持分移轉
RPVSMLPKNHPFFAO67CA,民富段,61.00,都市：住,全筆移轉
RPTSMLPKNHPFFAO47CA,東門段三小段,38.00,都市：商,全筆移轉
RPTSMLPKNHPFFAO47CA,東門段三小段,87.00,都市：商,全筆移轉
RPWNMLTKNHPFFAO67CA,中央段,9.59,都市：住,持分移轉
RPWNMLTKNHPFFAO67CA,中央段,12.38,都市：商,持分移轉
RPVNMLTKNHPFFAO57CA,中央段,12.38,都市：商,持分移轉
RPVNMLTKNHPFFAO57CA,中央段,9.59,都市：住,持分移轉
RPUNMLTKNHPFFAO47CA,中央段,12.38,都市：商,持分移轉
RPUNMLTKNHPFFAO47CA,中央段,9.59,都市：住,持分移轉
RPOOMLTKNHPFFAO96CA,中央段,12.38,都市：商,持分移轉
RPOOMLTKNHPFFAO96CA,中央段,9.59,都市：住,持分移轉
RPXNMLTKNHPFFAO77CA,中央段,12.38,都市：商,持分移轉
RPXNMLTKNHPFFAO77CA,中央段,9.59,都市：住,持分移轉
RPQOMLTKNHPFFAO17CA,中央段,12.45,都市：商,持分移轉
RPQOMLTKNHPFFAO17CA,中央段,9.65,都市：住,持分移轉
RPOOMLSKNHPFFAO86CA,光華段,15.82,都市：住,持分移轉
RPPOMLTKNHPFFAO07CA,中央段,12.45,都市：商,持分移轉
RPPOMLTKNHPFFAO07CA,中央段,9.65,都市：住,持分移轉
RPVOMLTKNHPFFAO67CA,中央段,12.45,都市：商,持分移轉
RPVOMLTKNHPFFAO67CA,中央段,9.65,都市：住,持分移轉
RPUPMLTKNHPFFAO67CA,中央段,12.87,都市：商,持分移轉
RPUPMLTKNHPFFAO67CA,中央段,9.97,都市：住,持分移轉
RPXPMLTKNHPFFAO97CA,中央段,12.87,都市：商,持分移轉
RPXPMLTKNHPFFAO97CA,中央段,9.97,都市：住,持分移轉
RPRQMLTKNHPFFAO47CA,中央段,12.87,都市：商,持分移轉
RPRQMLTKNHPFFAO47CA,中央段,9.97,都市：住,持分移轉
RPPQMLTKNHPFFAO27CA,中央段,12.87,都市：商,持分移轉
RPPQMLTKNHPFFAO27CA,中央段,9.97,都市：住,持分移轉
RPOQMLTKNHPFFAO17CA,新興段,20.61,都市：住,持分移轉
RPORMLTKNHPFFAO27CA,光武段,21.68,都市：住,持分移轉
RPORMLTKNHPFFAO27CA,光武段,.02,都市：住,持分移轉
RPORMLTKNHPFFAO27CA,光武段,.35,都市：其他:道路用地,持分移轉
RPTQMLTKNHPFFAO67CA,中央段,12.87,都市：商,持分移轉
RPTQMLTKNHPFFAO67CA,中央段,9.97,都市：住,持分移轉
RPVPMLKLNHPFFAO96CA,福林段,12.14,都市：住,持分移轉
RPTRMLTKNHPFFAO77CA,福林段,20.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPUQMLTKNHPFFAO77CA,中央段,12.87,都市：商,持分移轉
RPUQMLTKNHPFFAO77CA,中央段,9.97,都市：住,持分移轉
RPUNMLMLNHPFFAO86CA,中山段三小段,13.01,都市：商,持分移轉
RPUOMLOLNHPFFAO17CA,高峰段,93.67,都市：住,全筆移轉
RPSQMLPLNHPFFAO27CA,成德段,19.60,都市：住,持分移轉
RPSQMLPLNHPFFAO27CA,成德段,62.27,都市：住,全筆移轉
RPSQMLPLNHPFFAO27CA,成德段,17.63,都市：住,持分移轉
RPTPMLKLNHPFFAO76CA,福林段,17.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPRPMLKLNHPFFAO56CA,中寮段,26.95,都市：住,持分移轉
RPQNMLNLNHPFFAO56CA,和平段,8.97,都市：住,持分移轉
RPSNMLPLNHPFFAO96CA,新興段一小段,215.12,都市：住,全筆移轉
RPQPMLLLNHPFFAO56CA,光復段,29.44,都市：住,持分移轉
RPXOMLLLNHPFFAO17CA,東山段一小段,7.14,都市：其他,持分移轉
RPXOMLLLNHPFFAO17CA,東山段一小段,4.37,都市：其他,持分移轉
RPUOMLLLNHPFFAO86CA,長春段,5.76,都市：住,全筆移轉
RPUOMLLLNHPFFAO86CA,長春段,3.33,都市：住,持分移轉
RPROMLLLNHPFFAO56CA,國道段,16.18,都市：住,持分移轉
RPROMLLLNHPFFAO56CA,國道段,.05,都市：工,持分移轉
RPVNMLLJOHPFFAO76CA,長春段,34.79,都市：住,持分移轉
RPWNMLLLNHPFFAO96CA,光武段,11.11,都市：住,持分移轉
RPWNMLLLNHPFFAO96CA,光武段,.02,都市：其他,持分移轉
RPWNMLLLNHPFFAO96CA,光武段,.01,都市：其他,持分移轉
RPWNMLLLNHPFFAO96CA,光武段,.00,都市：其他,持分移轉
RPQOMLLLNHPFFAO09CA,光復段,22.96,都市：住,持分移轉
RPWNMLTLNHPFFAO77CA,金雅段,31.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPVNMLTLNHPFFAO67CA,金雅段,24.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPXPMLMJOHPFFAO27CA,民富段,61.00,都市：商,全筆移轉
RPQOMLKLOHPFFAO09CA,民主段,39.00,都市：其他:使用分區尚有部分正在核判處理中,全筆移轉
RPQOMLKLOHPFFAO09CA,民主段,124.00,都市：其他:使用分區尚有部分正在核判處理中,全筆移轉
RPPOMLKKOHPFFAO88CA,曲溪段,81.79,都市：住,全筆移轉
RPUPMLMKOHPFFAO07CA,南寮段,35.32,都市：住,持分移轉
RPUPMLMKOHPFFAO07CA,南寮段,57.12,都市：住,全筆移轉
RPVOMLNJOHPFFAO07CA,國道段,14.53,都市：住,持分移轉
RPQNMLTLNHPFFAO17CA,大庄段,29.45,都市：住,持分移轉
RPTOMLTLNHPFFAO57CA,光武段,295.32,都市：住,全筆移轉
RPQPMLRLNHPFFAO17CA,竹蓮段,10.80,都市：其他:第二種住宅區、第二種商業區,持分移轉
RPWOMLRLNHPFFAO67CA,東明段,8.44,都市：其他:住商混合區,持分移轉
RPTNMLRLNHPFFAO27CA,西門段一小段,24.08,都市：商,持分移轉
RPOOMLOLNHPFFAO56CA,水源段,2042.29,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPPOMLMKOHPFFAO09CA,武陵段,20.51,都市：其他:第一種住宅區、園道用地,持分移轉
RPPOMLMKOHPFFAO09CA,武陵段,.46,都市：住,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,6.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,191.87,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPRNMLMJOHPFFAO09CA,力行段,.90,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,2.05,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,7.58,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,6.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,9.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,.79,非都市：山坡地保育區 ; 非都市編定：交通用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,12.01,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,15.90,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,1.98,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,76.17,非都市：山坡地保育區 ; 非都市編定：交通用地,持分移轉
RPRNMLMJOHPFFAO09CA,力行段,5.33,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地,持分移轉
RPOPMLOJOHPFFAO56CA,南湖段,.21,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPOPMLOJOHPFFAO56CA,南湖段,.11,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPOPMLOJOHPFFAO56CA,南湖段,20.85,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPWOMLLLNHPFFAO07CA,介壽段,33.17,都市：住,全筆移轉
RPSNMLLJOHPFFAO09CA,港北段,22.85,都市：住,持分移轉
