編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPROMLLKJIOFFDA77CC,坡道平面,0,
RPROMLLKJIOFFDA77CC,坡道平面,0,
RPROMLLKJIOFFDA77CC,坡道平面,0,
RPROMLLKJIOFFDA77CC,坡道平面,0,
RPTOMLLKJIOFFDA08DC,坡道平面,0,47.51
RPTOMLLKJIOFFDA08DC,升降平面,0,47.51
RPRNMLMKJIOFFFA97CC,坡道平面,0,24.83
RPRNMLMKJIOFFFA97CC,升降機械,0,24.83
RPWNMLMKJIOFFCA18CC,坡道平面,0,
RPORMLMKJIOFFCA77CC,升降機械,0,
RPQQMLMKJIOFFCA87CC,坡道平面,0,
RPVRMLMKJIOFFCA48CC,坡道平面,0,36.78
RPTQMLNKJIOFFCA28CC,坡道平面,0,40.85
RPTQMLNKJIOFFCA28CC,坡道平面,0,40.85
RPTQMLNKJIOFFCA28CC,坡道平面,0,40.85
RPTQMLNKJIOFFCA28CC,坡道平面,0,40.84
RPXNMLNKJIOFFDA48CC,坡道平面,0,
RPXOMLNKJIOFFDA58CC,坡道平面,0,
RPTNMLOKJIOFFEA28CC,坡道平面,9240,48.50
RPVOMLOKJIOFFCA38CC,坡道平面,0,39.53
RPVOMLOKJIOFFCA38CC,坡道平面,0,45.83
RPPNMLQKJIOFFCA87CC,坡道平面,0,37.52
RPPNMLQKJIOFFCA87CC,坡道平面,0,37.52
RPRNMLQKJIOFFCA08CC,坡道平面,0,42.07
RPORMLSKJIOFFCA38CC,坡道平面,0,38.56
RPTOMLSKJIOFFEA78CC,坡道平面,0,
RPWOMLTKJIOFFFA66CC,坡道平面,4900,36.51
RPSPMLTKJIOFFEA88CC,坡道平面,0,42.88
RPQPMLTKJIOFFBA38CC,一樓平面,0,11.23
RPXNMLTKJIOFFDA09CC,坡道平面,0,47.50
RPXNMLTKJIOFFDA09CC,坡道平面,0,47.50
RPXNMLTKJIOFFDA09CC,坡道平面,0,47.50
RPXNMLTKJIOFFDA09CC,坡道平面,0,47.50
RPXNMLTKJIOFFDA09CC,坡道平面,0,47.50
RPXNMLTKJIOFFDA09CC,坡道平面,0,47.50
RPSPMLTKJIOFFCA68CC,坡道平面,0,
RPXPMLTKJIOFFCA56CC,坡道平面,0,
RPVNMLTKJIOFFCA78CC,坡道平面,0,34.84
RPOOMLTKJIOFFCA18CC,坡道平面,3000,34.40
RPOOMLTKJIOFFCA18CC,坡道平面,3000,34.40
RPOOMLTKJIOFFCA18CC,坡道平面,3000,34.40
RPOOMLTKJIOFFCA18CC,坡道平面,3000,34.40
RPOOMLTKJIOFFCA18CC,坡道平面,3000,34.40
RPOOMLTKJIOFFCA18CC,坡道平面,3000,34.40
RPOOMLTKJIOFFCA18CC,坡道平面,3000,34.40
RPOOMLTKJIOFFCA18CC,坡道平面,3000,34.40
RPOOMLTKJIOFFCA18CC,坡道平面,3000,34.40
RPOOMLTKJIOFFCA18CC,坡道平面,3000,34.40
RPUNMLKLJIOFFCA87CC,坡道平面,0,34.02
RPOOMLKLJIOFFCA37CC,坡道平面,0,
RPVPMLKLJIOFFCA18CC,坡道平面,0,30.69
RPXNMLKLJIOFFDA28CC,坡道平面,0,35.56
RPXNMLKLJIOFFDA28CC,坡道平面,0,35.56
RPUOMLKLJIOFFCA08DC,坡道平面,0,47.82
RPSNMLMLJIOFFCA87CC,坡道平面,0,27.14
RPSNMLMLJIOFFCA87CC,坡道平面,0,32.23
RPSPMLLLJIOFFCA97CC,坡道平面,0,
RPTQMLMLJIOFFCA28CC,坡道平面,5000,37.48
RPQOMLMLJIOFFDA87CC,坡道平面,0,
RPQOMLMLJIOFFDA87CC,坡道平面,0,
RPTOMLPLJIOFFCA38CC,塔式車位,0,11.38
RPVOMLQLJIOFFCA68CC,坡道平面,0,39.76
RPTPMLQLJIOFFCA58CC,坡道平面,0,33.76
RPWRMLQLJIOFFCA09CC,坡道平面,0,39.27
RPQOMLQLJIOFFBA08CC,坡道機械,0,
RPQOMLQLJIOFFBA08CC,升降機械,0,
RPVOMLQLJIOFFEA88CC,坡道平面,0,
RPOQMLQLJIOFFEA38CC,坡道機械,0,18.05
RPTSMLQLJIOFFCA88CC,坡道平面,0,41.32
RPTSMLQLJIOFFCA88CC,坡道平面,0,41.32
RPTOMLRLJIOFFBA48CC,坡道平面,4000,22.45
RPRNMLRLJIOFFDA38CC,坡道平面,0,
RPTNMLRLJIOFFDA58CC,坡道平面,0,34.89
RPVNMLSLJIOFFCA78CC,坡道平面,0,
