編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQPMLPKJIOFFCF48CB,民安段,27.76,都市：住
RPXPMLNKJIOFFCF98CB,民安段,27.76,都市：住
RPRPMLPKJIOFFCF58CB,民安段,27.76,都市：住
RPWPMLNKJIOFFCF88CB,民安段,30.08,都市：住
RPOPMLNKJIOFFCF08CB,民安段,30.08,都市：住
RPXOMLNKJIOFFCF88CB,民安段,31.23,都市：住
RPTPMLNKJIOFFCF58CB,民安段,30.08,都市：住
RPSPMLNKJIOFFCF48CB,民安段,31.23,都市：住
RPVPMLNKJIOFFCF78CB,民安段,31.23,都市：住
RPQPMLNKJIOFFCF28CB,民安段,39.33,都市：住
RPUPMLNKJIOFFCF68CB,民安段,31.23,都市：住
RPWPMLPKJIOFFCF09CB,民安段,23.14,都市：住
RPSPMLPKJIOFFCF68CB,民安段,28.92,都市：住
RPVPMLPKJIOFFCF98CB,民安段,21.98,都市：住
RPTPMLPKJIOFFCF78CB,民安段,27.76,都市：住
RPUPMLPKJIOFFCF88CB,民安段,15.04,都市：住
RPUOMLSKJIOFFIF07CB,樂山段,22.14,都市：住
RPUOMLSKJIOFFIF07CB,樂山段,.66,都市：住
RPUOMLSKJIOFFIF07CB,樂山段,4.93,都市：住
RPSOMLSKJIOFFIF86CB,樂山段,22.02,都市：住
RPSOMLSKJIOFFIF86CB,樂山段,.65,都市：住
RPSOMLSKJIOFFIF86CB,樂山段,4.90,都市：住
RPQOMLSKJIOFFIF66CB,樂山段,22.14,都市：住
RPQOMLSKJIOFFIF66CB,樂山段,.66,都市：住
RPQOMLSKJIOFFIF66CB,樂山段,4.93,都市：住
RPTOMLSKJIOFFIF96CB,樂山段,22.14,都市：住
RPTOMLSKJIOFFIF96CB,樂山段,.66,都市：住
RPTOMLSKJIOFFIF96CB,樂山段,4.93,都市：住
RPVOMLSKJIOFFIF17CB,樂山段,22.07,都市：住
RPVOMLSKJIOFFIF17CB,樂山段,.65,都市：住
RPVOMLSKJIOFFIF17CB,樂山段,4.91,都市：住
RPROMLSKJIOFFIF76CB,樂山段,22.14,都市：住
RPROMLSKJIOFFIF76CB,樂山段,.66,都市：住
RPROMLSKJIOFFIF76CB,樂山段,4.93,都市：住
RPPPMLSKJIOFFIF66CB,樂山段,22.07,都市：住
RPPPMLSKJIOFFIF66CB,樂山段,.65,都市：住
RPPPMLSKJIOFFIF66CB,樂山段,4.91,都市：住
RPWOMLSKJIOFFIF27CB,樂山段,22.07,都市：住
RPWOMLSKJIOFFIF27CB,樂山段,.65,都市：住
RPWOMLSKJIOFFIF27CB,樂山段,4.91,都市：住
RPXOMLSKJIOFFIF37CB,樂山段,22.13,都市：住
RPXOMLSKJIOFFIF37CB,樂山段,.66,都市：住
RPXOMLSKJIOFFIF37CB,樂山段,4.92,都市：住
RPRPMLSKJIOFFIF86CB,樂山段,22.07,都市：住
RPRPMLSKJIOFFIF86CB,樂山段,.65,都市：住
RPRPMLSKJIOFFIF86CB,樂山段,4.91,都市：住
RPQPMLSKJIOFFIF76CB,樂山段,22.07,都市：住
RPQPMLSKJIOFFIF76CB,樂山段,.65,都市：住
RPQPMLSKJIOFFIF76CB,樂山段,4.91,都市：住
RPSPMLSKJIOFFIF96CB,樂山段,16.60,都市：住
RPSPMLSKJIOFFIF96CB,樂山段,.49,都市：住
RPSPMLSKJIOFFIF96CB,樂山段,3.69,都市：住
RPUPMLSKJIOFFIF17CB,樂山段,16.60,都市：住
RPUPMLSKJIOFFIF17CB,樂山段,.49,都市：住
RPUPMLSKJIOFFIF17CB,樂山段,3.69,都市：住
RPTPMLSKJIOFFIF07CB,樂山段,16.66,都市：住
RPTPMLSKJIOFFIF07CB,樂山段,.49,都市：住
RPTPMLSKJIOFFIF07CB,樂山段,3.71,都市：住
RPXPMLSKJIOFFIF47CB,樂山段,16.60,都市：住
RPXPMLSKJIOFFIF47CB,樂山段,.49,都市：住
RPXPMLSKJIOFFIF47CB,樂山段,3.69,都市：住
RPWPMLSKJIOFFIF37CB,樂山段,16.66,都市：住
RPWPMLSKJIOFFIF37CB,樂山段,.49,都市：住
RPWPMLSKJIOFFIF37CB,樂山段,3.71,都市：住
RPOQMLSKJIOFFIF66CB,樂山段,16.60,都市：住
RPOQMLSKJIOFFIF66CB,樂山段,.49,都市：住
RPOQMLSKJIOFFIF66CB,樂山段,3.69,都市：住
RPQQMLSKJIOFFIF86CB,樂山段,16.60,都市：住
RPQQMLSKJIOFFIF86CB,樂山段,.49,都市：住
RPQQMLSKJIOFFIF86CB,樂山段,3.69,都市：住
RPVQMLSKJIOFFIF37CB,樂山段,16.60,都市：住
RPVQMLSKJIOFFIF37CB,樂山段,.49,都市：住
RPVQMLSKJIOFFIF37CB,樂山段,3.69,都市：住
RPWQMLSKJIOFFIF47CB,樂山段,16.60,都市：住
RPWQMLSKJIOFFIF47CB,樂山段,.49,都市：住
RPWQMLSKJIOFFIF47CB,樂山段,3.69,都市：住
RPPRMLSKJIOFFIF86CB,樂山段,22.01,都市：住
RPPRMLSKJIOFFIF86CB,樂山段,.65,都市：住
RPPRMLSKJIOFFIF86CB,樂山段,4.90,都市：住
RPRQMLSKJIOFFIF96CB,樂山段,16.60,都市：住
RPRQMLSKJIOFFIF96CB,樂山段,.49,都市：住
RPRQMLSKJIOFFIF96CB,樂山段,3.69,都市：住
RPUQMLSKJIOFFIF27CB,樂山段,16.66,都市：住
RPUQMLSKJIOFFIF27CB,樂山段,.49,都市：住
RPUQMLSKJIOFFIF27CB,樂山段,3.71,都市：住
RPSQMLSKJIOFFIF07CB,樂山段,16.66,都市：住
RPSQMLSKJIOFFIF07CB,樂山段,.49,都市：住
RPSQMLSKJIOFFIF07CB,樂山段,3.71,都市：住
RPORMLSKJIOFFIF76CB,樂山段,22.13,都市：住
RPORMLSKJIOFFIF76CB,樂山段,.66,都市：住
RPORMLSKJIOFFIF76CB,樂山段,4.92,都市：住
RPPQMLSKJIOFFIF76CB,樂山段,15.35,都市：住
RPPQMLSKJIOFFIF76CB,樂山段,.45,都市：住
RPPQMLSKJIOFFIF76CB,樂山段,3.42,都市：住
RPQRMLSKJIOFFIF96CB,樂山段,22.01,都市：住
RPQRMLSKJIOFFIF96CB,樂山段,.65,都市：住
RPQRMLSKJIOFFIF96CB,樂山段,4.90,都市：住
RPRRMLSKJIOFFIF07CB,樂山段,22.01,都市：住
RPRRMLSKJIOFFIF07CB,樂山段,.65,都市：住
RPRRMLSKJIOFFIF07CB,樂山段,4.90,都市：住
RPURMLSKJIOFFIF37CB,樂山段,22.08,都市：住
RPURMLSKJIOFFIF37CB,樂山段,.65,都市：住
RPURMLSKJIOFFIF37CB,樂山段,4.91,都市：住
RPSRMLSKJIOFFIF17CB,樂山段,22.01,都市：住
RPSRMLSKJIOFFIF17CB,樂山段,.65,都市：住
RPSRMLSKJIOFFIF17CB,樂山段,4.90,都市：住
RPTRMLSKJIOFFIF27CB,樂山段,22.14,都市：住
RPTRMLSKJIOFFIF27CB,樂山段,.66,都市：住
RPTRMLSKJIOFFIF27CB,樂山段,4.93,都市：住
RPWRMLSKJIOFFIF57CB,樂山段,22.14,都市：住
RPWRMLSKJIOFFIF57CB,樂山段,.66,都市：住
RPWRMLSKJIOFFIF57CB,樂山段,4.93,都市：住
RPOSMLSKJIOFFIF86CB,樂山段,15.35,都市：住
RPOSMLSKJIOFFIF86CB,樂山段,.45,都市：住
RPOSMLSKJIOFFIF86CB,樂山段,3.42,都市：住
RPQSMLSKJIOFFIF07CB,樂山段,16.66,都市：住
RPQSMLSKJIOFFIF07CB,樂山段,.49,都市：住
RPQSMLSKJIOFFIF07CB,樂山段,3.71,都市：住
RPTSMLSKJIOFFIF37CB,樂山段,16.66,都市：住
RPTSMLSKJIOFFIF37CB,樂山段,.49,都市：住
RPTSMLSKJIOFFIF37CB,樂山段,3.71,都市：住
RPSSMLSKJIOFFIF27CB,樂山段,16.60,都市：住
RPSSMLSKJIOFFIF27CB,樂山段,.49,都市：住
RPSSMLSKJIOFFIF27CB,樂山段,3.69,都市：住
RPPSMLSKJIOFFIF96CB,樂山段,16.72,都市：住
RPPSMLSKJIOFFIF96CB,樂山段,.50,都市：住
RPPSMLSKJIOFFIF96CB,樂山段,3.72,都市：住
RPUSMLSKJIOFFIF47CB,樂山段,15.35,都市：住
RPUSMLSKJIOFFIF47CB,樂山段,.45,都市：住
RPUSMLSKJIOFFIF47CB,樂山段,3.42,都市：住
RPXRMLSKJIOFFIF67CB,樂山段,22.02,都市：住
RPXRMLSKJIOFFIF67CB,樂山段,.65,都市：住
RPXRMLSKJIOFFIF67CB,樂山段,4.90,都市：住
RPRSMLSKJIOFFIF17CB,樂山段,16.66,都市：住
RPRSMLSKJIOFFIF17CB,樂山段,.49,都市：住
RPRSMLSKJIOFFIF17CB,樂山段,3.71,都市：住
RPVSMLSKJIOFFIF57CB,樂山段,16.60,都市：住
RPVSMLSKJIOFFIF57CB,樂山段,.49,都市：住
RPVSMLSKJIOFFIF57CB,樂山段,3.69,都市：住
RPWSMLSKJIOFFIF67CB,樂山段,16.60,都市：住
RPWSMLSKJIOFFIF67CB,樂山段,.49,都市：住
RPWSMLSKJIOFFIF67CB,樂山段,3.69,都市：住
RPOTMLSKJIOFFIF96CB,樂山段,16.60,都市：住
RPOTMLSKJIOFFIF96CB,樂山段,.49,都市：住
RPOTMLSKJIOFFIF96CB,樂山段,3.69,都市：住
RPQTMLSKJIOFFIF17CB,樂山段,16.60,都市：住
RPQTMLSKJIOFFIF17CB,樂山段,.49,都市：住
RPQTMLSKJIOFFIF17CB,樂山段,3.69,都市：住
RPVRMLSKJIOFFIF47CB,樂山段,22.08,都市：住
RPVRMLSKJIOFFIF47CB,樂山段,.65,都市：住
RPVRMLSKJIOFFIF47CB,樂山段,4.91,都市：住
RPPTMLSKJIOFFIF07CB,樂山段,16.60,都市：住
RPPTMLSKJIOFFIF07CB,樂山段,.49,都市：住
RPPTMLSKJIOFFIF07CB,樂山段,3.69,都市：住
RPXSMLSKJIOFFIF77CB,樂山段,16.60,都市：住
RPXSMLSKJIOFFIF77CB,樂山段,.49,都市：住
RPXSMLSKJIOFFIF77CB,樂山段,3.69,都市：住
RPQNMLMLJIOFFCF08CB,民安段,21.98,都市：住
RPTNMLMLJIOFFCF38CB,民安段,21.98,都市：住
RPSNMLMLJIOFFCF28CB,民安段,21.98,都市：住
RPUNMLMLJIOFFCF48CB,民安段,21.98,都市：住
RPTOMLPLJIOFFCF78CB,斯馨段,9.24,都市：住
RPUOMLPLJIOFFCF88CB,斯馨段,9.24,都市：住
RPVOMLPLJIOFFCF98CB,斯馨段,9.55,都市：住
RPRPMLPLJIOFFCF68CB,斯馨段,9.24,都市：住
RPSPMLPLJIOFFCF78CB,斯馨段,9.24,都市：住
RPTPMLPLJIOFFCF88CB,斯馨段,9.24,都市：住
RPUPMLPLJIOFFCF98CB,斯馨段,9.24,都市：住
RPSOMLPLJIOFFCF68CB,斯馨段,9.24,都市：住
RPVPMLPLJIOFFCF09CB,斯馨段,9.24,都市：住
RPWPMLPLJIOFFCF56CB,斯馨段,13.25,都市：住
RPWOMLPLJIOFFCF09CB,斯馨段,9.24,都市：住
RPPPMLPLJIOFFCF48CB,斯馨段,9.24,都市：住
RPOPMLPLJIOFFCF38CB,斯馨段,9.24,都市：住
RPXPMLPLJIOFFCF66CB,斯馨段,13.25,都市：住
RPQPMLPLJIOFFCF58CB,斯馨段,9.24,都市：住
RPOQMLPLJIOFFCF48CB,斯馨段,13.25,都市：住
RPQQMLPLJIOFFCF68CB,斯馨段,13.25,都市：住
RPXOMLPLJIOFFCF56CB,斯馨段,9.24,都市：住
RPPQMLPLJIOFFCF58CB,斯馨段,13.25,都市：住
RPRQMLPLJIOFFCF78CB,斯馨段,13.25,都市：住
RPSQMLPLJIOFFCF88CB,斯馨段,12.32,都市：住
RPTQMLPLJIOFFCF98CB,斯馨段,13.25,都市：住
RPXQMLPLJIOFFCF76CB,斯馨段,13.25,都市：住
RPORMLPLJIOFFCF58CB,斯馨段,13.25,都市：住
RPPRMLPLJIOFFCF68CB,斯馨段,13.25,都市：住
RPTRMLPLJIOFFCF09CB,斯馨段,13.25,都市：住
RPRRMLPLJIOFFCF88CB,斯馨段,12.32,都市：住
RPQRMLPLJIOFFCF78CB,斯馨段,13.25,都市：住
RPSRMLPLJIOFFCF98CB,斯馨段,13.25,都市：住
RPUQMLPLJIOFFCF09CB,斯馨段,13.25,都市：住
RPWQMLPLJIOFFCF66CB,斯馨段,13.25,都市：住
RPVQMLPLJIOFFCF56CB,斯馨段,13.25,都市：住
RPURMLPLJIOFFCF56CB,斯馨段,13.25,都市：住
RPVRMLPLJIOFFCF66CB,斯馨段,13.25,都市：住
RPWRMLPLJIOFFCF76CB,斯馨段,13.25,都市：住
RPXRMLPLJIOFFCF86CB,斯馨段,13.25,都市：住
RPPSMLPLJIOFFCF78CB,斯馨段,13.25,都市：住
RPQSMLPLJIOFFCF88CB,斯馨段,8.94,都市：住
RPUSMLPLJIOFFCF66CB,斯馨段,9.24,都市：住
RPSSMLPLJIOFFCF09CB,斯馨段,8.94,都市：住
RPRSMLPLJIOFFCF98CB,斯馨段,13.25,都市：住
RPTSMLPLJIOFFCF56CB,斯馨段,8.94,都市：住
RPVSMLPLJIOFFCF76CB,斯馨段,13.25,都市：住
RPWSMLPLJIOFFCF86CB,斯馨段,8.94,都市：住
RPSTMLPLJIOFFCF56CB,斯馨段,6.47,都市：住
RPUTMLPLJIOFFCF76CB,斯馨段,8.94,都市：住
RPPTMLPLJIOFFCF88CB,斯馨段,8.94,都市：住
RPXSMLPLJIOFFCF96CB,斯馨段,8.94,都市：住
RPTTMLPLJIOFFCF66CB,斯馨段,8.94,都市：住
RPRTMLPLJIOFFCF09CB,斯馨段,6.47,都市：住
RPQTMLPLJIOFFCF98CB,斯馨段,8.94,都市：住
RPOTMLPLJIOFFCF78CB,斯馨段,8.94,都市：住
RPOSMLPLJIOFFCF68CB,斯馨段,13.25,都市：住
RPOUMLPLJIOFFCF88CB,斯馨段,6.47,都市：住
RPSUMLPLJIOFFCF66CB,斯馨段,6.47,都市：住
RPXTMLPLJIOFFCF07CB,斯馨段,8.94,都市：住
RPVTMLPLJIOFFCF86CB,斯馨段,6.47,都市：住
RPWTMLPLJIOFFCF96CB,斯馨段,8.94,都市：住
RPRUMLPLJIOFFCF56CB,斯馨段,6.47,都市：住
RPPUMLPLJIOFFCF98CB,斯馨段,8.94,都市：住
RPQUMLPLJIOFFCF09CB,斯馨段,6.47,都市：住
RPTUMLPLJIOFFCF76CB,斯馨段,6.47,都市：住
RPUUMLPLJIOFFCF86CB,斯馨段,6.47,都市：住
RPWUMLPLJIOFFCF07CB,斯馨段,6.47,都市：住
RPXUMLPLJIOFFCF17CB,斯馨段,6.47,都市：住
RPOVMLPLJIOFFCF98CB,斯馨段,6.47,都市：住
RPVUMLPLJIOFFCF96CB,斯馨段,6.47,都市：住
RPRVMLPLJIOFFCF66CB,斯馨段,9.24,都市：住
RPTVMLPLJIOFFCF86CB,斯馨段,9.24,都市：住
RPQVMLPLJIOFFCF56CB,斯馨段,9.24,都市：住
RPPVMLPLJIOFFCF09CB,斯馨段,6.47,都市：住
RPSVMLPLJIOFFCF76CB,斯馨段,9.24,都市：住
RPUVMLPLJIOFFCF96CB,斯馨段,9.24,都市：住
RPVVMLPLJIOFFCF07CB,斯馨段,9.55,都市：住
RPWVMLPLJIOFFCF17CB,斯馨段,9.24,都市：住
RPQWMLPLJIOFFCF66CB,斯馨段,9.24,都市：住
RPUWMLPLJIOFFCF07CB,斯馨段,12.32,都市：住
RPOWMLPLJIOFFCF09CB,斯馨段,9.24,都市：住
RPSWMLPLJIOFFCF86CB,斯馨段,9.24,都市：住
RPRWMLPLJIOFFCF76CB,斯馨段,9.24,都市：住
RPXVMLPLJIOFFCF27CB,斯馨段,9.24,都市：住
RPTWMLPLJIOFFCF96CB,斯馨段,11.40,都市：住
RPPWMLPLJIOFFCF56CB,斯馨段,9.24,都市：住
RPVWMLPLJIOFFCF17CB,斯馨段,11.40,都市：住
RPXWMLPLJIOFFCF37CB,斯馨段,11.40,都市：住
RPPNNLPLJIOFFCF38CB,斯馨段,9.24,都市：住
RPONNLPLJIOFFCF28CB,斯馨段,11.40,都市：住
RPQNNLPLJIOFFCF48CB,斯馨段,11.40,都市：住
RPRNNLPLJIOFFCF58CB,斯馨段,11.40,都市：住
RPSNNLPLJIOFFCF68CB,斯馨段,12.02,都市：住
RPTNNLPLJIOFFCF78CB,斯馨段,11.40,都市：住
RPUNNLPLJIOFFCF88CB,斯馨段,11.40,都市：住
RPVNNLPLJIOFFCF98CB,斯馨段,10.48,都市：住
RPOONLPLJIOFFCF38CB,斯馨段,11.40,都市：住
RPXNNLPLJIOFFCF56CB,斯馨段,11.40,都市：住
RPQONLPLJIOFFCF58CB,斯馨段,11.40,都市：住
RPWNNLPLJIOFFCF09CB,斯馨段,11.40,都市：住
RPRONLPLJIOFFCF68CB,斯馨段,11.40,都市：住
RPPONLPLJIOFFCF48CB,斯馨段,11.40,都市：住
RPSONLPLJIOFFCF78CB,斯馨段,11.40,都市：住
RPUONLPLJIOFFCF98CB,斯馨段,11.40,都市：住
RPTONLPLJIOFFCF88CB,斯馨段,11.40,都市：住
RPVONLPLJIOFFCF09CB,斯馨段,11.40,都市：住
RPXONLPLJIOFFCF66CB,斯馨段,11.40,都市：住
RPWONLPLJIOFFCF56CB,斯馨段,11.40,都市：住
RPPPNLPLJIOFFCF58CB,斯馨段,11.40,都市：住
RPOPNLPLJIOFFCF48CB,斯馨段,11.40,都市：住
RPRPNLPLJIOFFCF78CB,斯馨段,8.94,都市：住
RPSPNLPLJIOFFCF88CB,斯馨段,11.40,都市：住
RPTPNLPLJIOFFCF98CB,斯馨段,8.94,都市：住
RPVPNLPLJIOFFCF56CB,斯馨段,8.94,都市：住
RPUPNLPLJIOFFCF09CB,斯馨段,8.94,都市：住
RPWPNLPLJIOFFCF66CB,斯馨段,8.94,都市：住
RPXPNLPLJIOFFCF76CB,斯馨段,9.24,都市：住
RPOQNLPLJIOFFCF58CB,斯馨段,8.94,都市：住
RPPQNLPLJIOFFCF68CB,斯馨段,8.94,都市：住
RPQPNLPLJIOFFCF68CB,斯馨段,11.40,都市：住
RPQQNLPLJIOFFCF78CB,斯馨段,8.94,都市：住
RPRQNLPLJIOFFCF88CB,斯馨段,8.94,都市：住
RPSQNLPLJIOFFCF98CB,斯馨段,6.47,都市：住
RPTQNLPLJIOFFCF09CB,斯馨段,6.47,都市：住
RPUQNLPLJIOFFCF56CB,斯馨段,8.94,都市：住
RPXQNLPLJIOFFCF86CB,斯馨段,8.94,都市：住
RPWQNLPLJIOFFCF76CB,斯馨段,6.47,都市：住
RPORNLPLJIOFFCF68CB,斯馨段,8.94,都市：住
RPPRNLPLJIOFFCF78CB,斯馨段,8.94,都市：住
RPVQNLPLJIOFFCF66CB,斯馨段,6.47,都市：住
RPQRNLPLJIOFFCF88CB,斯馨段,6.47,都市：住
RPSRNLPLJIOFFCF09CB,斯馨段,6.47,都市：住
RPXRNLPLJIOFFCF96CB,斯馨段,6.47,都市：住
RPTRNLPLJIOFFCF56CB,斯馨段,6.47,都市：住
RPVRNLPLJIOFFCF76CB,斯馨段,6.47,都市：住
RPWRNLPLJIOFFCF86CB,斯馨段,6.47,都市：住
RPOSNLPLJIOFFCF78CB,斯馨段,6.47,都市：住
RPPSNLPLJIOFFCF88CB,斯馨段,6.47,都市：住
RPURNLPLJIOFFCF66CB,斯馨段,6.47,都市：住
RPRRNLPLJIOFFCF98CB,斯馨段,6.47,都市：住
RPQSNLPLJIOFFCF98CB,斯馨段,9.55,都市：住
RPRSNLPLJIOFFCF09CB,斯馨段,9.55,都市：住
RPSSNLPLJIOFFCF56CB,斯馨段,9.55,都市：住
RPTSNLPLJIOFFCF66CB,斯馨段,9.55,都市：住
RPUSNLPLJIOFFCF76CB,斯馨段,9.55,都市：住
RPVSNLPLJIOFFCF86CB,斯馨段,9.55,都市：住
RPXSNLPLJIOFFCF07CB,斯馨段,9.55,都市：住
RPWSNLPLJIOFFCF96CB,斯馨段,9.55,都市：住
RPQTNLPLJIOFFCF09CB,斯馨段,11.40,都市：住
RPPTNLPLJIOFFCF98CB,斯馨段,9.55,都市：住
RPRTNLPLJIOFFCF56CB,斯馨段,11.40,都市：住
RPUTNLPLJIOFFCF86CB,斯馨段,11.40,都市：住
RPSTNLPLJIOFFCF66CB,斯馨段,11.40,都市：住
RPTTNLPLJIOFFCF76CB,斯馨段,11.40,都市：住
RPWTNLPLJIOFFCF07CB,斯馨段,11.40,都市：住
RPVTNLPLJIOFFCF96CB,斯馨段,11.40,都市：住
RPOTNLPLJIOFFCF88CB,斯馨段,9.55,都市：住
RPXTNLPLJIOFFCF17CB,斯馨段,11.40,都市：住
RPQUNLPLJIOFFCF56CB,斯馨段,10.78,都市：住
RPPUNLPLJIOFFCF09CB,斯馨段,11.40,都市：住
RPOUNLPLJIOFFCF98CB,斯馨段,9.55,都市：住
RPTUNLPLJIOFFCF86CB,斯馨段,11.40,都市：住
RPWUNLPLJIOFFCF17CB,斯馨段,11.40,都市：住
RPUUNLPLJIOFFCF96CB,斯馨段,11.40,都市：住
RPOVNLPLJIOFFCF09CB,斯馨段,11.40,都市：住
RPRVNLPLJIOFFCF76CB,斯馨段,11.40,都市：住
RPPVNLPLJIOFFCF56CB,斯馨段,11.40,都市：住
RPQVNLPLJIOFFCF66CB,斯馨段,11.40,都市：住
RPSVNLPLJIOFFCF86CB,斯馨段,11.40,都市：住
RPTVNLPLJIOFFCF96CB,斯馨段,11.40,都市：住
RPVVNLPLJIOFFCF17CB,斯馨段,11.40,都市：住
RPUVNLPLJIOFFCF07CB,斯馨段,11.40,都市：住
RPWVNLPLJIOFFCF27CB,斯馨段,8.94,都市：住
RPXVNLPLJIOFFCF37CB,斯馨段,8.94,都市：住
RPOWNLPLJIOFFCF56CB,斯馨段,8.94,都市：住
RPPWNLPLJIOFFCF66CB,斯馨段,8.94,都市：住
RPQWNLPLJIOFFCF76CB,斯馨段,8.94,都市：住
RPSWNLPLJIOFFCF96CB,斯馨段,8.94,都市：住
RPRWNLPLJIOFFCF86CB,斯馨段,8.94,都市：住
RPUWNLPLJIOFFCF17CB,斯馨段,8.94,都市：住
RPWWNLPLJIOFFCF37CB,斯馨段,8.94,都市：住
RPVWNLPLJIOFFCF27CB,斯馨段,8.94,都市：住
RPXWNLPLJIOFFCF47CB,斯馨段,8.94,都市：住
RPONOLPLJIOFFCF38CB,斯馨段,6.47,都市：住
RPTWNLPLJIOFFCF07CB,斯馨段,8.94,都市：住
RPPNOLPLJIOFFCF48CB,斯馨段,8.94,都市：住
RPQNOLPLJIOFFCF58CB,斯馨段,6.47,都市：住
RPRNOLPLJIOFFCF68CB,斯馨段,6.47,都市：住
RPSNOLPLJIOFFCF78CB,斯馨段,6.47,都市：住
RPUNOLPLJIOFFCF98CB,斯馨段,6.47,都市：住
RPTNOLPLJIOFFCF88CB,斯馨段,6.47,都市：住
RPWNOLPLJIOFFCF56CB,斯馨段,6.47,都市：住
RPVNOLPLJIOFFCF09CB,斯馨段,6.47,都市：住
RPXNOLPLJIOFFCF66CB,斯馨段,6.47,都市：住
RPPOOLPLJIOFFCF58CB,斯馨段,6.47,都市：住
RPSOOLPLJIOFFCF88CB,斯馨段,6.47,都市：住
RPOOOLPLJIOFFCF48CB,斯馨段,6.47,都市：住
RPQOOLPLJIOFFCF68CB,斯馨段,6.47,都市：住
RPROOLPLJIOFFCF78CB,斯馨段,6.47,都市：住
RPTOOLPLJIOFFCF98CB,斯馨段,6.47,都市：住
RPUOOLPLJIOFFCF09CB,斯馨段,6.47,都市：住
RPOPOLPLJIOFFCF58CB,斯馨段,6.47,都市：住
RPXOOLPLJIOFFCF76CB,斯馨段,6.47,都市：住
RPVOOLPLJIOFFCF56CB,斯馨段,6.47,都市：住
RPWOOLPLJIOFFCF66CB,斯馨段,6.47,都市：住
RPTPOLPLJIOFFCF09CB,斯馨段,9.55,都市：住
RPSPOLPLJIOFFCF98CB,斯馨段,9.55,都市：住
RPPPOLPLJIOFFCF68CB,斯馨段,6.47,都市：住
RPUPOLPLJIOFFCF56CB,斯馨段,11.71,都市：住
RPRPOLPLJIOFFCF88CB,斯馨段,9.55,都市：住
RPVPOLPLJIOFFCF66CB,斯馨段,9.55,都市：住
RPWPOLPLJIOFFCF76CB,斯馨段,9.55,都市：住
RPXPOLPLJIOFFCF86CB,斯馨段,9.55,都市：住
RPQQOLPLJIOFFCF88CB,斯馨段,9.55,都市：住
RPUQOLPLJIOFFCF66CB,斯馨段,9.55,都市：住
RPPQOLPLJIOFFCF78CB,斯馨段,9.55,都市：住
RPOQOLPLJIOFFCF68CB,斯馨段,9.55,都市：住
RPVQOLPLJIOFFCF76CB,斯馨段,13.25,都市：住
RPWQOLPLJIOFFCF86CB,斯馨段,15.71,都市：住
RPRQOLPLJIOFFCF98CB,斯馨段,9.55,都市：住
RPTQOLPLJIOFFCF56CB,斯馨段,13.25,都市：住
RPXQOLPLJIOFFCF96CB,斯馨段,13.25,都市：住
RPPROLPLJIOFFCF88CB,斯馨段,13.25,都市：住
RPOROLPLJIOFFCF78CB,斯馨段,13.25,都市：住
RPQROLPLJIOFFCF98CB,斯馨段,13.25,都市：住
RPUROLPLJIOFFCF76CB,斯馨段,13.25,都市：住
RPWROLPLJIOFFCF96CB,斯馨段,13.25,都市：住
RPSROLPLJIOFFCF56CB,斯馨段,9.55,都市：住
RPRROLPLJIOFFCF09CB,斯馨段,13.25,都市：住
RPTROLPLJIOFFCF66CB,斯馨段,13.25,都市：住
RPVROLPLJIOFFCF86CB,斯馨段,13.25,都市：住
RPXROLPLJIOFFCF07CB,斯馨段,13.25,都市：住
RPOSOLPLJIOFFCF88CB,斯馨段,13.25,都市：住
RPSSOLPLJIOFFCF66CB,斯馨段,13.25,都市：住
RPPSOLPLJIOFFCF98CB,斯馨段,13.25,都市：住
RPRSOLPLJIOFFCF56CB,斯馨段,13.25,都市：住
RPQSOLPLJIOFFCF09CB,斯馨段,13.25,都市：住
RPTSOLPLJIOFFCF76CB,斯馨段,13.25,都市：住
RPWSOLPLJIOFFCF07CB,斯馨段,13.25,都市：住
RPUSOLPLJIOFFCF86CB,斯馨段,13.25,都市：住
RPVSOLPLJIOFFCF96CB,斯馨段,13.25,都市：住
RPXSOLPLJIOFFCF17CB,斯馨段,13.25,都市：住
RPOTOLPLJIOFFCF98CB,斯馨段,8.94,都市：住
RPSTOLPLJIOFFCF76CB,斯馨段,8.94,都市：住
RPQTOLPLJIOFFCF56CB,斯馨段,8.94,都市：住
RPPTOLPLJIOFFCF09CB,斯馨段,8.94,都市：住
RPRTOLPLJIOFFCF66CB,斯馨段,8.94,都市：住
RPXTOLPLJIOFFCF27CB,斯馨段,8.94,都市：住
RPTTOLPLJIOFFCF86CB,斯馨段,8.94,都市：住
RPOUOLPLJIOFFCF09CB,斯馨段,8.94,都市：住
RPWTOLPLJIOFFCF17CB,斯馨段,8.94,都市：住
RPUTOLPLJIOFFCF96CB,斯馨段,8.94,都市：住
RPVTOLPLJIOFFCF07CB,斯馨段,13.25,都市：住
RPPUOLPLJIOFFCF56CB,斯馨段,8.94,都市：住
RPQUOLPLJIOFFCF66CB,斯馨段,8.94,都市：住
RPTUOLPLJIOFFCF96CB,斯馨段,20.03,都市：住
RPRUOLPLJIOFFCF76CB,斯馨段,11.40,都市：住
RPXUOLPLJIOFFCF37CB,斯馨段,6.47,都市：住
RPSUOLPLJIOFFCF86CB,斯馨段,6.47,都市：住
